mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02588663101196289,0.01940567697919975,0.021875429153442382,0.016895386335775583,3,1,StandardScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'scaler': StandardScaler()}",0.9565217391304348,0.9130434782608695,1.0,0.8636363636363636,0.9545454545454546,0.9375494071146246,0.04607075017259576,38,0.9775280898876404,0.9775280898876404,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.968789013732834,0.008208240171283075
0.006301736831665039,0.0013753051987470122,0.007797336578369141,0.0013217792761462538,3,1,MinMaxScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'scaler': MinMaxScaler()}",0.9565217391304348,0.9565217391304348,1.0,0.9090909090909091,0.9545454545454546,0.9553359683794467,0.028764277310134794,11,0.9775280898876404,0.9887640449438202,0.9666666666666667,0.9777777777777777,0.9777777777777777,0.9777028714107365,0.006988406765357653
0.007822275161743164,0.002741956976586436,0.007380628585815429,0.0009742201456769195,3,2,StandardScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'scaler': StandardScaler()}",0.9565217391304348,0.9565217391304348,1.0,0.8636363636363636,0.9545454545454546,0.9462450592885375,0.04470773335075959,31,0.9662921348314607,0.9775280898876404,0.9777777777777777,0.9777777777777777,0.9666666666666667,0.9732084893882647,0.005496310510215445
0.011525106430053712,0.003016686075373187,0.012866830825805664,0.004536251820189572,3,2,MinMaxScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'scaler': MinMaxScaler()}",0.9565217391304348,0.9565217391304348,1.0,0.9545454545454546,0.9545454545454546,0.9644268774703558,0.01780850644437755,1,0.9775280898876404,0.9775280898876404,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9776779026217228,0.00012232158515772295
0.005746698379516602,0.0014058098396116058,0.007895708084106445,0.0018328507624818778,3,3,StandardScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'scaler': StandardScaler()}",0.9565217391304348,0.9130434782608695,1.0,0.8636363636363636,0.9545454545454546,0.9375494071146246,0.04607075017259576,38,0.9662921348314607,0.9775280898876404,0.9555555555555556,0.9666666666666667,0.9555555555555556,0.9643196004993758,0.008215604308380416
0.0071807861328125,0.0018271336357785482,0.0069011211395263675,0.0009502458050640287,3,3,MinMaxScaler(),"{'classifier__n_neighbors': 3, 'classifier__p': 3, 'scaler': MinMaxScaler()}",0.9565217391304348,0.9130434782608695,1.0,0.9545454545454546,0.9545454545454546,0.9557312252964426,0.027515105587283987,3,0.9662921348314607,0.9775280898876404,0.9555555555555556,0.9666666666666667,0.9666666666666667,0.966541822721598,0.006949671194395376
0.006116247177124024,0.001527008566819705,0.008440303802490234,0.0029644277414915504,5,1,StandardScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'scaler': StandardScaler()}",0.9565217391304348,0.9130434782608695,0.9545454545454546,0.8636363636363636,0.9545454545454546,0.9284584980237154,0.03629913509539561,48,0.9775280898876404,0.9775280898876404,0.9555555555555556,0.9777777777777777,0.9666666666666667,0.9710112359550562,0.008814513004233875
0.0067898273468017575,0.001602343557266891,0.0073890209197998045,0.0012225336863049688,5,1,MinMaxScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'scaler': MinMaxScaler()}",0.9565217391304348,0.9130434782608695,0.9545454545454546,0.8636363636363636,0.9545454545454546,0.9284584980237154,0.03629913509539561,48,0.9662921348314607,0.9887640449438202,0.9888888888888889,0.9777777777777777,0.9666666666666667,0.9776779026217228,0.009994816307935571
0.006352138519287109,0.0019760558234680832,0.007579183578491211,0.0014919357069787713,5,2,StandardScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'scaler': StandardScaler()}",0.9565217391304348,0.9565217391304348,1.0,0.8636363636363636,1.0,0.9553359683794467,0.04980237154150197,11,0.9662921348314607,0.9887640449438202,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9710112359550562,0.008877589642590071
0.005943870544433594,0.0012956912605831862,0.0061820030212402345,0.0009762505083227764,5,2,MinMaxScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'scaler': MinMaxScaler()}",0.9565217391304348,0.9130434782608695,1.0,0.9090909090909091,1.0,0.9557312252964426,0.03979355873091929,3,0.9662921348314607,0.9775280898876404,0.9666666666666667,0.9777777777777777,0.9444444444444444,0.966541822721598,0.012126968368433001
0.006289005279541016,0.0017090674269986926,0.007283258438110352,0.0018235675741792097,5,3,StandardScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 3, 'scaler': StandardScaler()}",0.9565217391304348,0.9130434782608695,1.0,0.8636363636363636,1.0,0.9466403162055336,0.05255579490464716,17,0.9662921348314607,0.9887640449438202,0.9777777777777777,0.9666666666666667,0.9555555555555556,0.9710112359550562,0.011322292785103416
0.006142377853393555,0.0007581428006733601,0.008634471893310547,0.0023772473205378665,5,3,MinMaxScaler(),"{'classifier__n_neighbors': 5, 'classifier__p': 3, 'scaler': MinMaxScaler()}",0.9565217391304348,0.9130434782608695,1.0,0.9090909090909091,1.0,0.9557312252964426,0.03979355873091929,3,0.9662921348314607,0.9775280898876404,0.9444444444444444,0.9777777777777777,0.9444444444444444,0.9620973782771536,0.014998866074867827
